Gene_ID,Gene_Name,Nutrient,Impact_on_Gene,Interaction_Type,Expression_Level,Daily_Intake_mg,Risk_Score,Population
GENE2402,MTHFR,Zinc,Upregulation,Enhances,High,58.94,2.33,General
GENE4954,SOD2,Zinc,No effect,Enhances,High,13.83,4.25,Caucasian
GENE7658,SOD2,Omega-3,Upregulation,Reduces,High,81.22,4.99,General
GENE9004,MTHFR,Selenium,No effect,Enhances,Moderate,71.37,7.65,Caucasian
GENE4937,MTHFR,Omega-3,No effect,Reduces,High,14.24,7.66,General
GENE8800,APOA1,Omega-3,Downregulation,Neutral,Moderate,34.49,5.94,Asian
GENE9041,SOD2,Folate,No effect,Reduces,Moderate,66.22,7.56,Caucasian
GENE8342,APOA1,Folate,Upregulation,Enhances,Variable,77.82,8.01,African American
GENE1282,TCF7L2,Folate,Upregulation,Enhances,Moderate,49.7,9.43,Caucasian
GENE2524,MTHFR,Selenium,No effect,Neutral,Variable,95.01,3.56,Asian
GENE5820,APOA1,Omega-3,Downregulation,Reduces,Moderate,18.65,6.67,Asian
GENE4630,MTHFR,Vitamin D,No effect,Enhances,Variable,90.09,9.5,African American
GENE7625,APOA1,Omega-3,Upregulation,Neutral,Variable,29.52,9.88,General
GENE4986,TCF7L2,Selenium,No effect,Enhances,Moderate,39.53,5.11,General
GENE6016,TCF7L2,Folate,No effect,Reduces,Moderate,22.42,1.47,Caucasian
GENE7046,GPX1,Selenium,Upregulation,Reduces,Moderate,92.14,4.55,Asian
GENE8753,SOD2,Folate,Downregulation,Enhances,Moderate,36.38,1.22,Asian
GENE9698,GPX1,Selenium,Upregulation,Neutral,Variable,86.78,4.89,African American
GENE6632,SOD2,Vitamin D,Downregulation,Neutral,Variable,35.85,2.31,Asian
GENE7971,TCF7L2,Folate,No effect,Neutral,Variable,51.31,9.42,Asian
GENE6419,APOA1,Folate,Upregulation,Neutral,Moderate,11.21,0.3,General
GENE6764,MTHFR,Omega-3,Upregulation,Enhances,Moderate,15.72,7.38,General
GENE8434,TCF7L2,Selenium,Downregulation,Neutral,High,50.47,8.3,Caucasian
GENE5438,TCF7L2,Zinc,Downregulation,Neutral,High,85.35,4.98,Caucasian
GENE6023,APOA1,Zinc,Upregulation,Neutral,High,31.81,0.27,General
GENE5118,TCF7L2,Omega-3,No effect,Reduces,High,38.12,1.79,African American
GENE4777,TCF7L2,Selenium,Upregulation,Enhances,Variable,59.59,6.05,Asian
GENE2976,APOA1,Vitamin D,No effect,Neutral,High,53.26,3.27,Caucasian
GENE4155,TCF7L2,Omega-3,No effect,Neutral,Variable,43.54,3.03,Caucasian
GENE6169,SOD2,Folate,No effect,Reduces,Moderate,72.86,6.23,General
GENE2958,SOD2,Vitamin D,No effect,Neutral,Variable,15.16,7.6,African American
GENE9779,SOD2,Selenium,Downregulation,Neutral,Variable,57.83,6.61,African American
GENE4033,SOD2,Folate,Downregulation,Enhances,Variable,11.74,5.2,General
GENE4138,TCF7L2,Zinc,Upregulation,Reduces,High,33.7,4.92,African American
GENE4545,MTHFR,Selenium,Downregulation,Reduces,High,48.79,4.66,Asian
GENE8933,SOD2,Folate,Upregulation,Reduces,High,61.1,2.94,African American
GENE5530,SOD2,Selenium,Upregulation,Neutral,Moderate,27.66,4.98,Caucasian
GENE9595,TCF7L2,Folate,No effect,Reduces,High,28.15,5.05,Asian
GENE5636,GPX1,Selenium,Upregulation,Neutral,High,20.11,5.42,Caucasian
GENE2647,TCF7L2,Zinc,Downregulation,Enhances,High,50.83,8.09,African American
GENE4180,APOA1,Omega-3,Downregulation,Enhances,Moderate,11.28,5.41,Caucasian
GENE5853,SOD2,Folate,Upregulation,Neutral,Variable,24.78,0.18,General
GENE4727,APOA1,Folate,No effect,Reduces,High,70.94,7.64,Caucasian
GENE6912,SOD2,Zinc,Upregulation,Enhances,High,45.96,9.91,Asian
GENE3939,GPX1,Omega-3,Upregulation,Neutral,Moderate,98.12,8.8,African American
GENE5952,MTHFR,Selenium,Downregulation,Reduces,Variable,58.89,1.19,General
GENE1231,GPX1,Folate,Downregulation,Enhances,High,37.51,4.5,Asian
GENE9751,TCF7L2,Omega-3,No effect,Neutral,High,70.94,8.53,African American
GENE3073,TCF7L2,Selenium,Downregulation,Neutral,Moderate,21.44,4.43,African American
GENE5494,APOA1,Folate,Upregulation,Neutral,Variable,68.61,0.36,African American
GENE1745,APOA1,Folate,Downregulation,Neutral,High,75.24,1.77,General
GENE1893,TCF7L2,Selenium,Downregulation,Reduces,High,72.63,6.59,African American
GENE5786,TCF7L2,Zinc,Downregulation,Neutral,Variable,84.49,7.79,Asian
GENE3068,TCF7L2,Omega-3,Downregulation,Neutral,Moderate,15.86,8.85,African American
GENE9042,SOD2,Folate,No effect,Neutral,Moderate,61.63,1.64,African American
GENE2680,GPX1,Selenium,Downregulation,Neutral,High,35.91,4.31,Asian
GENE1200,SOD2,Folate,Upregulation,Enhances,High,14.28,3.12,General
GENE5658,MTHFR,Selenium,Downregulation,Neutral,Variable,47.3,3.89,African American
GENE8690,SOD2,Folate,No effect,Enhances,Moderate,34.26,7.64,Caucasian
GENE8843,TCF7L2,Vitamin D,No effect,Reduces,Moderate,43.55,5.69,Asian
GENE8216,SOD2,Zinc,No effect,Reduces,Variable,61.83,4.91,Caucasian
GENE6582,APOA1,Omega-3,Upregulation,Enhances,High,70.12,5.54,General
GENE4020,TCF7L2,Zinc,Upregulation,Neutral,High,61.66,5.39,Caucasian
GENE1841,GPX1,Zinc,Downregulation,Enhances,Variable,82.89,4.7,Caucasian
GENE5136,SOD2,Omega-3,Upregulation,Enhances,High,36.1,5.62,Asian
GENE8827,TCF7L2,Zinc,Upregulation,Enhances,High,66.27,1.56,General
GENE2869,APOA1,Vitamin D,Downregulation,Neutral,High,10.84,0.56,General
GENE2070,APOA1,Selenium,Upregulation,Neutral,Variable,25.67,2.63,General
GENE7565,SOD2,Omega-3,Downregulation,Enhances,Moderate,18.2,5.91,Caucasian
GENE9056,TCF7L2,Selenium,Downregulation,Reduces,Moderate,60.17,3.78,Caucasian
GENE2213,GPX1,Folate,Upregulation,Enhances,Moderate,76.72,6.76,Caucasian
GENE1878,MTHFR,Vitamin D,Upregulation,Reduces,Moderate,81.93,7.66,General
GENE3485,APOA1,Selenium,Downregulation,Reduces,Variable,76.92,2.84,Caucasian
GENE3444,MTHFR,Selenium,Upregulation,Neutral,Moderate,67.78,0.61,African American
GENE5978,GPX1,Omega-3,Downregulation,Reduces,Variable,48.03,5.9,General
GENE2395,SOD2,Folate,Upregulation,Enhances,Moderate,32.69,1.28,African American
GENE5066,APOA1,Omega-3,No effect,Enhances,High,63.48,3.66,General
GENE2940,MTHFR,Folate,Upregulation,Neutral,Variable,47.48,8.1,Asian
GENE7818,APOA1,Omega-3,No effect,Reduces,Variable,24.54,5.84,Caucasian
GENE4697,MTHFR,Selenium,Upregulation,Enhances,High,88.36,7.65,Caucasian
GENE9561,TCF7L2,Selenium,Downregulation,Reduces,Variable,33.47,6.25,General
GENE7232,TCF7L2,Vitamin D,No effect,Reduces,Variable,80.46,3.81,African American
GENE8381,SOD2,Selenium,No effect,Neutral,Moderate,69.56,4.28,Asian
GENE8253,GPX1,Zinc,Downregulation,Enhances,Variable,92.26,9.92,General
GENE5871,APOA1,Selenium,No effect,Enhances,Variable,93.98,4.12,Caucasian
GENE8025,GPX1,Zinc,Upregulation,Enhances,Variable,73.19,0.56,Asian
GENE6003,MTHFR,Selenium,Downregulation,Reduces,Variable,91.94,2.44,Caucasian
GENE1986,SOD2,Zinc,No effect,Neutral,Moderate,99.08,2.35,African American
GENE2625,TCF7L2,Zinc,Upregulation,Enhances,Variable,60.36,3.12,African American
GENE4404,TCF7L2,Selenium,No effect,Neutral,Variable,63.09,0.85,Asian
GENE4457,SOD2,Zinc,Downregulation,Neutral,Variable,53.49,6.88,Caucasian
GENE5335,APOA1,Vitamin D,Upregulation,Neutral,Variable,85.53,8.69,African American
GENE2330,GPX1,Folate,Upregulation,Reduces,Moderate,85.99,1.14,Asian
GENE3573,MTHFR,Zinc,Upregulation,Reduces,Moderate,10.93,1.7,Asian
GENE4929,GPX1,Zinc,Downregulation,Neutral,Moderate,90.6,5.38,General
GENE3847,TCF7L2,Vitamin D,Upregulation,Neutral,Variable,96.95,0.37,African American
GENE2229,SOD2,Vitamin D,Upregulation,Reduces,High,5.08,6.58,Caucasian
GENE3564,TCF7L2,Omega-3,Downregulation,Enhances,High,58.2,4.22,African American
GENE1043,TCF7L2,Folate,No effect,Neutral,Moderate,97.98,5.15,General
GENE7693,MTHFR,Omega-3,No effect,Reduces,Moderate,15.42,4.21,Asian
GENE8381,APOA1,Zinc,No effect,Neutral,Moderate,31.81,0.2,Caucasian
GENE8699,APOA1,Vitamin D,No effect,Enhances,Moderate,7.96,4.7,Asian
GENE5771,MTHFR,Zinc,No effect,Enhances,Moderate,46.01,0.22,General
GENE1534,SOD2,Selenium,Downregulation,Neutral,High,61.07,3.17,Caucasian
GENE4792,GPX1,Folate,No effect,Enhances,Moderate,64.4,5.7,African American
GENE5720,SOD2,Selenium,Downregulation,Neutral,High,72.62,3.22,General
GENE5632,GPX1,Vitamin D,Downregulation,Enhances,High,43.57,0.98,Asian
GENE8438,APOA1,Vitamin D,Upregulation,Reduces,Variable,46.34,4.88,Asian
GENE2166,TCF7L2,Vitamin D,Upregulation,Neutral,High,25.07,6.91,Asian
GENE4824,TCF7L2,Folate,Upregulation,Neutral,Moderate,21.47,2.06,Caucasian
GENE5334,SOD2,Omega-3,Downregulation,Reduces,Moderate,18.21,4.97,Asian
GENE4241,MTHFR,Zinc,No effect,Enhances,Moderate,57.77,8.11,Caucasian
GENE7965,GPX1,Zinc,No effect,Reduces,Variable,85.12,6.67,Asian
GENE2880,TCF7L2,Zinc,Downregulation,Enhances,High,39.23,1.67,African American
GENE9922,SOD2,Zinc,Upregulation,Enhances,Variable,44.64,3.0,Asian
GENE4683,MTHFR,Zinc,Upregulation,Neutral,Moderate,32.4,9.69,African American
GENE3441,APOA1,Omega-3,Downregulation,Reduces,Moderate,87.91,2.02,Asian
GENE5352,MTHFR,Selenium,Upregulation,Reduces,Moderate,16.93,6.35,Caucasian
GENE3330,APOA1,Folate,Downregulation,Reduces,High,6.1,9.74,African American
GENE2169,SOD2,Selenium,Upregulation,Reduces,Moderate,66.6,0.75,General
GENE1977,MTHFR,Selenium,Downregulation,Enhances,Moderate,18.68,8.5,Caucasian
GENE3718,SOD2,Zinc,No effect,Neutral,Variable,89.06,2.14,General
GENE6039,APOA1,Zinc,No effect,Neutral,High,67.5,2.65,Caucasian
GENE5728,TCF7L2,Omega-3,No effect,Reduces,High,97.62,2.97,African American
GENE8195,TCF7L2,Folate,Downregulation,Neutral,Variable,17.9,5.74,General
GENE3037,APOA1,Vitamin D,Upregulation,Neutral,Moderate,18.04,8.05,General
GENE8679,GPX1,Selenium,Upregulation,Enhances,High,81.56,6.25,African American
GENE5982,GPX1,Vitamin D,Upregulation,Enhances,Moderate,86.71,9.58,Caucasian
GENE7594,TCF7L2,Folate,Upregulation,Neutral,Variable,89.89,7.18,General
GENE5460,TCF7L2,Selenium,Upregulation,Reduces,Moderate,71.06,5.78,General
GENE9199,MTHFR,Vitamin D,No effect,Reduces,Moderate,93.38,5.92,African American
GENE9847,MTHFR,Vitamin D,Downregulation,Enhances,High,64.21,2.73,Caucasian
GENE9090,TCF7L2,Omega-3,Upregulation,Neutral,High,48.17,5.66,Asian
GENE8172,GPX1,Folate,Downregulation,Neutral,Variable,45.29,5.31,Caucasian
GENE2317,MTHFR,Folate,Upregulation,Neutral,Variable,82.91,4.27,African American
GENE1653,APOA1,Folate,Downregulation,Enhances,Variable,41.55,3.47,General
GENE8078,MTHFR,Selenium,Downregulation,Enhances,Moderate,26.45,0.77,General
GENE6280,MTHFR,Omega-3,Downregulation,Neutral,Moderate,45.35,8.24,African American
GENE5102,MTHFR,Zinc,Downregulation,Reduces,High,5.71,5.05,Caucasian
GENE1423,SOD2,Selenium,No effect,Reduces,Moderate,52.32,3.0,General
GENE2496,APOA1,Folate,Downregulation,Enhances,High,74.44,6.63,Asian
GENE4750,TCF7L2,Selenium,Upregulation,Reduces,Moderate,72.65,3.13,African American
GENE1339,GPX1,Vitamin D,No effect,Reduces,Variable,30.58,4.14,Caucasian
GENE5415,GPX1,Selenium,No effect,Neutral,High,93.02,2.51,Caucasian
GENE1659,TCF7L2,Selenium,Downregulation,Neutral,Variable,59.75,5.15,Asian
GENE3870,SOD2,Folate,Upregulation,Reduces,Variable,8.18,6.72,General
GENE8708,GPX1,Vitamin D,Downregulation,Enhances,Variable,8.6,5.48,Caucasian
GENE9502,MTHFR,Folate,Downregulation,Neutral,Variable,50.91,8.81,Asian
GENE8245,GPX1,Vitamin D,Downregulation,Reduces,Moderate,40.01,6.28,Asian
GENE5557,APOA1,Vitamin D,Upregulation,Neutral,Moderate,60.13,5.16,Asian
GENE3973,APOA1,Vitamin D,Downregulation,Neutral,Variable,96.37,1.87,African American
GENE8141,TCF7L2,Folate,Upregulation,Reduces,Variable,12.61,4.99,African American
GENE9056,SOD2,Vitamin D,Downregulation,Reduces,Variable,74.37,6.61,Caucasian
GENE2494,SOD2,Omega-3,Downregulation,Enhances,Moderate,55.01,8.24,Caucasian
GENE8700,GPX1,Omega-3,Downregulation,Reduces,Moderate,86.64,9.38,Caucasian
GENE6700,SOD2,Zinc,Downregulation,Neutral,High,76.31,2.68,General
GENE7690,SOD2,Omega-3,Upregulation,Enhances,High,31.54,6.38,General
GENE6460,GPX1,Zinc,Downregulation,Reduces,High,54.11,8.09,Caucasian
GENE6260,APOA1,Omega-3,No effect,Neutral,High,54.72,8.53,African American
GENE2713,MTHFR,Folate,Upregulation,Enhances,Moderate,62.96,9.07,African American
GENE3634,TCF7L2,Zinc,Upregulation,Enhances,High,28.3,9.35,Asian
GENE6403,APOA1,Selenium,No effect,Enhances,Variable,64.91,7.27,Caucasian
GENE7744,SOD2,Selenium,No effect,Neutral,Moderate,68.06,0.6,General
GENE9117,SOD2,Omega-3,Upregulation,Neutral,Variable,68.53,2.01,Asian
GENE5722,GPX1,Selenium,Upregulation,Enhances,Moderate,69.99,4.62,African American
GENE7561,TCF7L2,Omega-3,No effect,Neutral,Moderate,56.22,2.4,Caucasian
GENE1601,MTHFR,Omega-3,Downregulation,Enhances,Variable,60.06,7.46,African American
GENE8451,GPX1,Selenium,No effect,Enhances,Variable,63.24,7.66,Asian
GENE2442,GPX1,Selenium,Downregulation,Neutral,Moderate,90.84,8.44,Caucasian
GENE6153,MTHFR,Vitamin D,No effect,Neutral,High,55.83,4.1,General
GENE5135,MTHFR,Zinc,Upregulation,Enhances,Moderate,6.02,8.6,Caucasian
GENE6296,SOD2,Omega-3,No effect,Neutral,High,48.13,9.11,General
GENE2899,GPX1,Selenium,Upregulation,Reduces,High,91.08,6.34,Caucasian
GENE7622,APOA1,Zinc,Downregulation,Enhances,High,59.53,8.46,Caucasian
GENE9431,APOA1,Selenium,No effect,Enhances,Variable,36.49,2.67,Caucasian
GENE1018,GPX1,Selenium,Downregulation,Neutral,High,38.53,2.87,Caucasian
GENE9889,MTHFR,Vitamin D,No effect,Neutral,High,97.89,1.61,General
GENE8569,TCF7L2,Omega-3,No effect,Neutral,High,32.99,6.87,African American
GENE7770,MTHFR,Omega-3,Downregulation,Reduces,Moderate,20.91,2.36,Caucasian
GENE1888,MTHFR,Folate,No effect,Neutral,Moderate,71.03,2.38,Asian
GENE4073,TCF7L2,Vitamin D,Upregulation,Enhances,High,61.78,1.5,Caucasian
GENE9494,MTHFR,Zinc,Downregulation,Neutral,Variable,33.89,0.28,General
GENE6927,TCF7L2,Vitamin D,Downregulation,Neutral,Moderate,79.58,7.97,Caucasian
GENE9167,GPX1,Zinc,Upregulation,Enhances,Variable,29.74,3.11,African American
GENE8242,TCF7L2,Omega-3,Downregulation,Enhances,High,64.78,4.85,General
GENE1845,APOA1,Folate,No effect,Reduces,High,59.92,9.91,Caucasian
GENE4335,TCF7L2,Folate,Upregulation,Neutral,High,59.42,4.22,Caucasian
GENE5375,MTHFR,Omega-3,No effect,Reduces,High,67.35,9.06,Caucasian
GENE9998,GPX1,Selenium,No effect,Enhances,High,32.72,2.02,Caucasian
GENE3146,TCF7L2,Vitamin D,No effect,Enhances,Moderate,75.05,2.73,African American
GENE5719,MTHFR,Folate,No effect,Enhances,High,7.59,0.29,General
GENE8178,TCF7L2,Selenium,No effect,Enhances,Moderate,51.05,7.9,General
GENE8941,GPX1,Zinc,No effect,Enhances,Moderate,17.05,2.78,Caucasian
GENE2989,GPX1,Folate,Upregulation,Reduces,Moderate,12.3,5.51,General
GENE1472,APOA1,Zinc,Upregulation,Neutral,Moderate,79.46,6.44,Asian
GENE4920,GPX1,Selenium,Downregulation,Enhances,Moderate,28.94,0.42,Caucasian
GENE3594,MTHFR,Zinc,Upregulation,Neutral,Moderate,63.5,7.22,General
GENE6091,GPX1,Selenium,Upregulation,Enhances,Variable,31.15,7.82,General
GENE1224,GPX1,Zinc,Upregulation,Reduces,High,29.41,0.55,General
GENE7684,MTHFR,Vitamin D,Upregulation,Reduces,Moderate,75.44,8.97,General
GENE2527,MTHFR,Folate,Upregulation,Reduces,High,62.36,3.14,Caucasian
GENE4681,GPX1,Folate,Upregulation,Reduces,High,91.46,2.98,African American
GENE2858,GPX1,Selenium,Downregulation,Neutral,High,75.2,0.64,Caucasian
GENE8560,TCF7L2,Zinc,Upregulation,Reduces,Moderate,67.62,9.55,General
GENE2924,GPX1,Omega-3,No effect,Reduces,Moderate,40.13,8.97,African American
GENE3522,APOA1,Folate,Downregulation,Reduces,High,21.66,6.72,Asian
GENE9165,APOA1,Zinc,Upregulation,Enhances,Variable,79.34,8.86,Caucasian
GENE5781,APOA1,Zinc,No effect,Reduces,Moderate,27.44,3.97,Caucasian
GENE9337,APOA1,Vitamin D,Upregulation,Neutral,High,22.18,8.4,Caucasian
GENE5479,GPX1,Omega-3,No effect,Enhances,High,55.1,8.43,Caucasian
GENE7807,TCF7L2,Folate,Downregulation,Neutral,Moderate,8.14,2.36,Asian
GENE8905,MTHFR,Vitamin D,Downregulation,Enhances,Moderate,98.49,5.71,Asian
GENE8736,GPX1,Omega-3,No effect,Neutral,High,96.9,5.0,African American
GENE4993,SOD2,Folate,Upregulation,Neutral,High,61.58,1.21,African American
GENE8483,GPX1,Vitamin D,Upregulation,Neutral,Variable,83.06,6.64,General
GENE3369,APOA1,Omega-3,Downregulation,Enhances,High,84.57,5.8,General
GENE7284,SOD2,Folate,No effect,Neutral,Moderate,76.51,7.75,General
GENE4122,GPX1,Omega-3,Downregulation,Neutral,Moderate,44.23,5.25,Asian
GENE9327,TCF7L2,Zinc,No effect,Enhances,High,41.4,4.96,Asian
GENE3236,TCF7L2,Selenium,Downregulation,Neutral,Variable,67.76,0.9,Asian
GENE2143,SOD2,Selenium,Downregulation,Enhances,High,73.97,6.0,Caucasian
GENE5526,MTHFR,Zinc,No effect,Reduces,High,20.89,7.73,Caucasian
GENE7798,SOD2,Omega-3,Downregulation,Neutral,Moderate,59.89,3.13,Asian
GENE6568,TCF7L2,Zinc,Upregulation,Enhances,Variable,84.97,8.32,African American
GENE9318,SOD2,Selenium,No effect,Reduces,High,10.16,7.37,General
GENE5377,APOA1,Selenium,No effect,Neutral,Variable,30.12,8.06,African American
GENE1042,APOA1,Omega-3,No effect,Reduces,Variable,82.86,7.44,African American
GENE5634,MTHFR,Selenium,No effect,Neutral,High,9.99,9.36,Asian
GENE5891,SOD2,Zinc,Downregulation,Enhances,Moderate,49.08,2.18,Asian
GENE9022,SOD2,Omega-3,Upregulation,Reduces,Moderate,50.24,1.07,General
GENE3434,SOD2,Zinc,Downregulation,Reduces,Variable,50.25,2.14,African American
GENE8316,SOD2,Omega-3,Upregulation,Reduces,Moderate,95.08,2.75,African American
GENE9824,MTHFR,Selenium,Upregulation,Reduces,Moderate,92.63,4.08,African American
GENE8935,TCF7L2,Folate,No effect,Neutral,High,27.2,8.63,African American
GENE6654,GPX1,Omega-3,No effect,Enhances,Variable,69.93,0.56,Caucasian
GENE6446,MTHFR,Omega-3,No effect,Reduces,Variable,42.06,5.33,Asian
GENE9903,TCF7L2,Folate,Upregulation,Enhances,High,29.95,7.0,Caucasian
GENE7180,TCF7L2,Selenium,Upregulation,Neutral,Variable,55.39,1.13,Asian
GENE8460,TCF7L2,Zinc,No effect,Enhances,Variable,46.3,5.46,Caucasian
GENE6272,SOD2,Vitamin D,Upregulation,Enhances,Variable,32.44,4.75,General
GENE4090,MTHFR,Folate,Downregulation,Neutral,High,80.74,2.46,African American
GENE4912,TCF7L2,Vitamin D,No effect,Reduces,Moderate,41.29,2.78,Asian
GENE7274,GPX1,Selenium,Downregulation,Neutral,Moderate,34.99,7.84,Asian
GENE4826,GPX1,Omega-3,Downregulation,Reduces,Variable,55.37,1.45,Asian
GENE7730,APOA1,Omega-3,Downregulation,Neutral,Moderate,95.81,4.75,Caucasian
GENE1715,TCF7L2,Selenium,Downregulation,Enhances,High,14.25,3.68,African American
GENE6213,MTHFR,Zinc,No effect,Reduces,Moderate,55.47,3.08,Asian
GENE8749,SOD2,Zinc,Downregulation,Neutral,High,38.61,6.45,General
GENE7246,APOA1,Selenium,No effect,Neutral,Variable,85.2,9.05,General
GENE7325,TCF7L2,Selenium,No effect,Neutral,High,63.0,0.35,African American
GENE3492,SOD2,Selenium,Downregulation,Reduces,High,66.95,7.39,African American
GENE9115,MTHFR,Selenium,Upregulation,Enhances,High,30.9,7.99,African American
GENE1606,MTHFR,Selenium,Upregulation,Neutral,Variable,30.68,0.55,General
GENE3068,APOA1,Selenium,Downregulation,Neutral,Moderate,81.22,9.17,African American
GENE9229,APOA1,Omega-3,Downregulation,Enhances,Moderate,29.26,6.72,Asian
GENE6439,TCF7L2,Vitamin D,Upregulation,Enhances,High,60.5,2.53,Caucasian
GENE2644,SOD2,Zinc,No effect,Enhances,High,48.81,3.85,General
GENE8213,GPX1,Vitamin D,No effect,Enhances,Moderate,69.15,6.39,Caucasian
GENE2633,SOD2,Omega-3,No effect,Neutral,Variable,27.97,7.01,General
GENE9617,MTHFR,Folate,No effect,Neutral,High,68.83,9.03,Asian
GENE8486,MTHFR,Vitamin D,Downregulation,Reduces,Moderate,78.2,6.85,Caucasian
GENE1251,TCF7L2,Folate,Upregulation,Neutral,High,54.4,5.35,Asian
GENE3361,GPX1,Omega-3,Downregulation,Neutral,High,69.38,2.36,Asian
GENE7717,TCF7L2,Zinc,Downregulation,Enhances,High,99.36,4.42,General
GENE3529,MTHFR,Folate,No effect,Reduces,Variable,34.76,0.08,Asian
GENE2225,MTHFR,Omega-3,Upregulation,Enhances,Variable,6.0,9.61,Asian
GENE8692,SOD2,Selenium,Upregulation,Neutral,Moderate,5.81,9.28,General
GENE5342,GPX1,Zinc,No effect,Neutral,Variable,11.46,9.18,African American
GENE6546,SOD2,Selenium,Downregulation,Neutral,Variable,44.07,3.01,General
GENE7512,SOD2,Zinc,Downregulation,Reduces,High,54.9,9.36,Asian
GENE2315,TCF7L2,Zinc,Downregulation,Enhances,Moderate,70.12,7.57,General
GENE6383,SOD2,Vitamin D,Upregulation,Reduces,High,38.39,2.97,Asian
GENE9742,APOA1,Zinc,Downregulation,Neutral,High,73.9,8.59,Caucasian
GENE7226,APOA1,Vitamin D,Downregulation,Neutral,High,28.93,1.6,African American
GENE6188,SOD2,Folate,Downregulation,Enhances,Moderate,8.23,4.39,Caucasian
GENE8994,GPX1,Zinc,Downregulation,Enhances,High,63.84,3.17,Caucasian
GENE9864,SOD2,Folate,Downregulation,Enhances,Variable,10.4,8.12,African American
GENE1588,MTHFR,Zinc,No effect,Enhances,Variable,61.44,6.44,Caucasian
GENE2121,MTHFR,Vitamin D,No effect,Neutral,Moderate,89.93,7.89,Caucasian
GENE4846,GPX1,Selenium,Upregulation,Reduces,Variable,25.6,2.74,Asian
GENE5708,TCF7L2,Zinc,Upregulation,Enhances,High,61.94,0.8,African American
GENE4727,APOA1,Omega-3,Upregulation,Enhances,High,16.57,7.79,General
GENE2480,APOA1,Selenium,Downregulation,Enhances,Moderate,95.99,4.92,Asian
GENE8110,TCF7L2,Vitamin D,No effect,Neutral,Variable,13.21,7.37,African American
GENE2612,SOD2,Omega-3,Downregulation,Neutral,High,62.45,9.26,Caucasian
GENE2646,GPX1,Folate,Downregulation,Enhances,Variable,40.72,3.33,Caucasian
GENE8269,SOD2,Vitamin D,Downregulation,Neutral,Variable,77.57,4.22,Asian
GENE3725,TCF7L2,Selenium,No effect,Reduces,High,66.55,9.19,Asian
GENE5906,GPX1,Folate,Downregulation,Neutral,High,81.3,1.0,African American
GENE1474,APOA1,Folate,No effect,Neutral,Moderate,22.55,1.6,Asian
GENE1753,APOA1,Vitamin D,No effect,Enhances,High,15.53,2.61,Asian
GENE6314,SOD2,Selenium,Upregulation,Reduces,Moderate,22.5,0.66,African American
GENE1919,MTHFR,Vitamin D,Upregulation,Neutral,Variable,32.98,4.21,Asian
GENE5806,TCF7L2,Omega-3,Downregulation,Enhances,Variable,67.75,7.29,African American
GENE6873,TCF7L2,Omega-3,Upregulation,Reduces,Moderate,12.19,5.48,Asian
GENE7141,SOD2,Zinc,Downregulation,Enhances,Moderate,48.08,3.27,Asian
GENE8056,TCF7L2,Folate,No effect,Enhances,Variable,99.55,6.95,Asian
GENE3385,APOA1,Zinc,Downregulation,Neutral,High,78.09,7.62,Caucasian
GENE5000,SOD2,Selenium,No effect,Neutral,High,70.76,6.41,Asian
GENE9702,APOA1,Omega-3,Downregulation,Reduces,Variable,68.42,1.84,African American
GENE7751,GPX1,Zinc,Upregulation,Reduces,Moderate,78.16,4.43,Caucasian
GENE3950,GPX1,Omega-3,No effect,Reduces,Moderate,29.45,6.41,Caucasian
GENE3785,MTHFR,Omega-3,Upregulation,Enhances,Variable,79.17,0.03,Asian
GENE3868,TCF7L2,Omega-3,Upregulation,Neutral,High,31.34,2.0,General
GENE2293,GPX1,Vitamin D,Downregulation,Neutral,Moderate,10.93,3.06,Caucasian
GENE7267,TCF7L2,Zinc,No effect,Enhances,High,41.92,5.76,African American
GENE4945,APOA1,Folate,No effect,Enhances,Moderate,99.62,1.11,Asian
GENE9153,SOD2,Zinc,Downregulation,Reduces,Variable,29.53,2.5,African American
GENE3344,GPX1,Folate,Upregulation,Neutral,Moderate,82.22,7.14,General
GENE4804,SOD2,Zinc,No effect,Enhances,Variable,21.9,7.68,Asian
GENE8555,GPX1,Zinc,No effect,Enhances,Moderate,11.59,6.49,African American
GENE5161,TCF7L2,Omega-3,Upregulation,Reduces,Variable,98.05,1.3,African American
GENE8529,GPX1,Folate,Upregulation,Reduces,Variable,24.06,5.94,Asian
GENE5183,GPX1,Folate,Upregulation,Reduces,Moderate,42.3,4.1,General
GENE1153,APOA1,Folate,Upregulation,Reduces,High,66.32,9.39,Caucasian
GENE8622,MTHFR,Zinc,Upregulation,Neutral,Variable,15.3,4.51,Caucasian
GENE5712,APOA1,Folate,Upregulation,Neutral,High,56.36,8.74,Asian
GENE9955,SOD2,Zinc,Upregulation,Reduces,Variable,45.97,1.34,Asian
GENE3588,TCF7L2,Vitamin D,Downregulation,Neutral,Moderate,63.33,1.73,Asian
GENE2210,TCF7L2,Omega-3,Upregulation,Neutral,Moderate,15.09,5.93,Asian
GENE8237,GPX1,Selenium,Downregulation,Enhances,Variable,46.95,3.28,General
GENE6661,TCF7L2,Vitamin D,No effect,Neutral,Moderate,29.6,2.82,African American
GENE5901,MTHFR,Folate,Upregulation,Neutral,Moderate,8.31,0.84,African American
GENE7951,MTHFR,Omega-3,Downregulation,Reduces,Variable,11.69,3.68,General
GENE5097,GPX1,Omega-3,Downregulation,Reduces,Variable,74.12,3.93,Asian
